timestamp,pos_x,pos_y,pos_z,roll,pitch,yaw,imu_pos_x,imu_pos_y,imu_pos_z,vel_x,vel_y,vel_z,uncertainty_x,uncertainty_y,uncertainty_z
16.226839,-24.647200,-112.270600,-62.671558,0.001015,0.057389,-0.067443,-123.465588,-311.700868,-102.802586,-1969.893715,-3988.613294,-802.644103,0.088362,0.088362,0.088362
16.276839,-24.327825,-112.270832,-62.673775,-0.001092,0.075044,-0.062148,-123.153342,-311.701053,-102.806306,-1970.122840,-3988.609062,-802.694976,0.088362,0.088362,0.088362
16.326839,-24.013573,-112.271055,-62.676858,-0.002769,0.067310,-0.059174,-122.846566,-311.701224,-102.811455,-1970.374818,-3988.607841,-802.753616,0.088362,0.088362,0.088362
16.376839,-23.704750,-112.271341,-62.680639,-0.004193,0.049478,-0.057266,-122.545472,-311.701487,-102.817748,-1970.637985,-3988.608628,-802.817817,0.088362,0.088362,0.088362
16.426839,-23.399887,-112.271636,-62.684685,-0.003385,0.014506,-0.055593,-122.248813,-311.701786,-102.824444,-1970.881252,-3988.608916,-802.876108,0.088362,0.088362,0.088362
16.476839,-23.097317,-112.271945,-62.688587,-0.002162,-0.016660,-0.054198,-121.954995,-311.702097,-102.830867,-1971.102160,-3988.609208,-802.923646,0.088362,0.088362,0.088362
16.526839,-22.794136,-112.272190,-62.691936,0.000197,-0.046931,-0.048768,-121.660978,-311.702382,-102.836335,-1971.273233,-3988.608750,-802.954955,0.088362,0.088362,0.088362
16.576839,-22.488344,-112.272350,-62.694526,0.000867,-0.060010,-0.044931,-121.364524,-311.702507,-102.840528,-1971.407744,-3988.606329,-802.971838,0.088362,0.088362,0.088362
16.626839,-22.178033,-112.272495,-62.696223,-0.001099,-0.063243,-0.042776,-121.063871,-311.702608,-102.843222,-1971.510536,-3988.605176,-802.973913,0.088362,0.088362,0.088362
16.676839,-21.861656,-112.272671,-62.697073,-0.001452,-0.046474,-0.041293,-120.757001,-311.702771,-102.844517,-1971.579367,-3988.605520,-802.965889,0.088362,0.088362,0.088362
16.726839,-21.539818,-112.272888,-62.697392,-0.001661,-0.016848,-0.040050,-120.444398,-311.702990,-102.844956,-1971.654840,-3988.606363,-802.957653,0.088362,0.088362,0.088362
16.776839,-21.215231,-112.273078,-62.697876,-0.000665,0.026437,-0.039023,-120.128008,-311.703174,-102.845726,-1971.763793,-3988.605721,-802.966694,0.088362,0.088362,0.088362
16.826839,-20.892043,-112.273266,-62.699166,-0.000597,0.057098,-0.035114,-119.812193,-311.703395,-102.847885,-1971.939227,-3988.606331,-803.000179,0.088362,0.088362,0.088362
16.876839,-20.573101,-112.273350,-62.701478,-0.001627,0.072831,-0.032274,-119.500431,-311.703464,-102.851760,-1972.167759,-3988.603952,-803.051870,0.088362,0.088362,0.088362
